product_id		attribute_id		attribute_value
1243118002		shop_the_look_1		1247098001;;1240595001;;1225212001
1211254001		shop_the_look_0		1002949002;;1250677002;;1271482001
1211254001		shop_the_look_1		1219886001;;1052587028;;1219888001
1211254001		shop_the_look_2		1240595001;;1230603001;;1255047001
1232097001		shop_the_look_0		1220422003;;1184210006;;1052587030
1232097001		shop_the_look_1		1190723001;;1218892001;;1275616001
1217664001		shop_the_look_0		1253485001;;1150895002;;1241764001
1217664001		shop_the_look_1		1275617001;;1240595001;;1190723001
1205065005		shop_the_look_0		1243617003;;1229684001;;1150569001
1205065005		shop_the_look_1		1230603001;;1240595001;;1230595001
1252421001		shop_the_look_0		1196947001;;1217421001;;1011037002
1252421001		shop_the_look_1		1271847001;;1243591002;;1238878001
1011037002		shop_the_look_0		1241505001;;1246324001;;1246537002
1011037002		shop_the_look_1		1244174001;;1258754001;;1241508002
1011037002		shop_the_look_2		1271847001;;1190723001;;1243591002
1271749001		shop_the_look_0		1243116001;;1251540001;;1244409001
1271749001		shop_the_look_1		1271736001;;1258151001;;1240129002
1271749001		shop_the_look_2		1275616001;;1218892001;;1257585001
1244202001		shop_the_look_0		1243102001;;1241260002;;0960679001
1244202001		shop_the_look_1		1232462001;;1242189001;;1258151003
1244202001		shop_the_look_2		1240754001;;1230606001;;1256319001
1248496001		shop_the_look_0		1232653001;;1204130004;;1244374001
1248496001		shop_the_look_1		1214832001;;1230615005;;1224988001
1250544001		shop_the_look_0		0989040076;;0989040069;;1230301001
1250544001		shop_the_look_1		1218892001;;1240754001;;1253994001
1242778001		shop_the_look_0		1219886001;;1219888001;;1209037001
1242778001		shop_the_look_1		1190723001;;1218892001;;1240595001
1209037006		shop_the_look_0		1196947001;;1217421001;;1147848001
1209037006		shop_the_look_1		1271847001;;1238878001;;1218892001
1252415001		shop_the_look_0		1252414001;;1217664001;;1271740001
1252415001		shop_the_look_1		1243591002;;1271847001;;1218892001
1256382001		shop_the_look_0		1243652001;;1250703001;;1230301002
1256382001		shop_the_look_1		1230615005;;1224988001;;1214832001
1232468003		shop_the_look_0		1235443001;;1094272001;;1258151003
1232468003		shop_the_look_1		1230603001;;1248145001;;1224988001
1252726001		shop_the_look_0		1230301002;;1230301001;;1229902002
1252726001		shop_the_look_1		1251541001;;1243249002;;1246137001
1259397001		shop_the_look_0		1244174001;;1242174001;;1258987001
1259397001		shop_the_look_1		1230597002;;1224988003;;1257585001
1236534001		shop_the_look_0		1150569001;;1243617003;;1243652001
1236534001		shop_the_look_1		1240595001;;1190723001;;1271847001
1241269001		shop_the_look_0		1232462001;;1248999001;;1242189001
1241269001		shop_the_look_1		1240754001;;1230597001;;1230615005
1246551005		shop_the_look_0		1242198001;;1241622002;;1242885001
1246551005		shop_the_look_1		1230597001;;1233583001;;1230602001
1253512002		shop_the_look_0		0989040070;;1261582001;;1248643001
1253512002		shop_the_look_1		1251078001;;1250439001;;1244174001
1253512002		shop_the_look_2		1191357002;;1246138001;;1207891002
1253512002		shop_the_look_3		1238880001;;1190729001;;1230602001
1242831002		shop_the_look_0		1230301002;;1243644002;;1243639003
1242831002		shop_the_look_1		1240754001;;1230603001;;1250113002
1244275001		shop_the_look_0		1235853002;;1251659001;;1242189001
1244275001		shop_the_look_1		1194860001;;1230597001;;1247098001
1245539001		shop_the_look_0		1230597001;;1233583001;;1233140001
1271475001		shop_the_look_0		1271474001;;1241566002;;1244447002
1271475001		shop_the_look_1		1275615001;;1230607002;;1253994001
1230301002		shop_the_look_0		1251541001;;1243249002;;1242191001
1230301002		shop_the_look_1		1239979001;;1231662001;;1256319001
1181316001		shop_the_look_0		1179401002;;1248999002;;1214190005
1181316001		shop_the_look_1		1275616001;;1218892001;;1230597001
1187429004		shop_the_look_0		1252421001;;1243816001;;1248922001
1187429004		shop_the_look_1		1190723001;;1218892001;;1247098001
1246138001		shop_the_look_0		1255844001;;1268240001;;1250147001
1203771002		shop_the_look_0		1242189001;;1102691003;;1248999001
1203771002		shop_the_look_1		1271847001;;1190723001;;1218892001
1200470001		shop_the_look_0		1242189001;;1244174001;;1258754001
1200470001		shop_the_look_1		1230615005;;1230597001;;1214832001
1246014001		shop_the_look_0		1246551005;;1258151001;;1094272009
1246014001		shop_the_look_1		1239979001;;1275616001;;1249821001
1257585001		shop_the_look_0		1203771002;;1246002001;;1246322001
1257585001		shop_the_look_1		1243639001;;1261582001;;1230301002
1257585001		shop_the_look_2		1252421001;;1271738001;;1241394001
1069400006		shop_the_look_0		1208911002;;1228573001;;1271460001
1069400006		shop_the_look_1		1250113002;;1275614001;;1239979003
1235853001		shop_the_look_0		1271745001;;1262462001;;1271478001
1235853001		shop_the_look_1		1233075001;;1190723001;;1257585001
1234962001		shop_the_look_0		1246324001;;1262323001;;1246322001
1234962001		shop_the_look_1		1271747002;;1244445001;;1096936001
1234962001		shop_the_look_2		1224988001;;1240595001;;1230595001
1258832001		shop_the_look_0		1242788001;;1244165001;;1234978001
1258832001		shop_the_look_1		1137112012;;1220422002;;1232254001
1258832001		shop_the_look_2		1230578001;;1230686001;;1255205001
1235443001		shop_the_look_0		1150895002;;1221948003;;0888940009
